Date,Prev Close,Open,High,Low,Last,Close,Turnover
20050713,308.6,307.05,310,307.05,310,308.3,1.5849E+11
20050714,308.3,303.05,311.95,303,303.2,303.6,78603870000
20050715,303.6,301,303.1,298,298,299.55,3.21325E+11
20050718,299.55,294,307,294,304,303.7,1.00499E+11
20050719,303.7,308,310.95,301.1,301.3,302.4,1.79224E+11
20050720,302.4,304.3,309.95,303.3,307,307.05,1.47753E+11
20050721,307.05,308.8,308.8,302.25,304.8,304.9,39348575000
20050722,304.9,305,306,301,302.15,304.3,2.14681E+11
20050725,304.3,306,314,303.8,314,311.25,4.42297E+11
20050726,311.25,315,324,302.3,310,309.9,2.00491E+11
20050727,309.9,310,313.8,305,305,305.05,48362120000
20050729,305.05,307.95,307.95,303,303,303.5,1.54472E+11
20050801,303.5,304.05,312,302.5,311,309.8,2.22378E+11
20050802,309.8,304.75,311,304.75,309,307.1,2.23667E+11
20050803,307.1,302.1,306.45,302,302,302.1,1.94156E+11
20050804,302.1,304.75,308,301,302.05,301.75,4.19927E+11
20050805,301.75,304.75,307.75,302.05,302.25,302.45,1.71548E+11
20050808,302.45,303,309.75,290.05,290.05,295.2,2.42057E+11
20050809,295.2,296,298.1,294,294,294.6,2.28431E+11
20050810,294.6,276,304,276,286.5,286.85,1.528E+11
20050811,286.85,290,300,290,295.2,295.55,1.72349E+11
20050812,295.55,299,320,299,308,306.95,1.91267E+13
20050816,306.95,301.55,317.8,301.55,307,304.85,5.36414E+11
20050817,304.85,307,313,305,311.5,310.7,5.96585E+11
20050818,310.7,311,313,304,306.8,305.9,1.92775E+11
20050819,305.9,305.4,307.9,302,302,302.05,8.59746E+11
20050822,302.05,304.5,361.8,293.05,293.05,297.6,4.15357E+11
20050823,297.6,299.75,304.7,290.1,290.1,292.05,1.60506E+11
20050824,292.05,290.2,292.5,285.3,292.5,290.3,1.25276E+11
20050825,290.3,290.05,299.8,290,294,290.9,69231440000
20050826,290.9,290.9,294.75,285,290.55,289.5,1.46803E+11
20050829,289.5,290,291.75,286.05,291,290.1,98886525000
20050830,290.1,294.75,324,291.55,307.6,309.4,1.42078E+12
20050831,309.4,320,325.5,300.5,305,304.75,1.44635E+12
20050901,304.75,311.85,311.85,296,301.1,301.8,3.28972E+11
20050902,301.8,304.75,309.7,295,302.35,301.65,1.27262E+12
20050905,301.65,303.2,308,290.1,290.1,295.7,2.30545E+11
20050906,295.7,303,303,295,297.6,296.15,1.83804E+11
20050908,296.15,292,302,292,296,296.15,2.20344E+11
20050909,296.15,299,305,296,303,301.15,2.48225E+11
20050912,301.15,304.2,305,296.6,299,297.45,1.71951E+11
20050913,297.45,299,301,294.5,296.35,296.5,1.38122E+12
20050914,296.5,295.5,301.9,295.5,297.5,298.95,1.58198E+11
20050915,298.95,299.9,301,296.8,300,299.65,1.77833E+11
20050916,299.65,303,303,297.7,300,300.05,1.47093E+11
20050919,300.05,300,303.9,296.1,300,300.6,2.59717E+11
20050920,300.6,301.8,301.8,295,295.15,298.55,3.18425E+11
20050921,298.55,299.7,299.7,289,298.9,295.75,4.58066E+11
20050922,295.75,290,295.3,272,272,275.6,1.91235E+11
20050923,275.6,279,284.5,267.7,282.5,279.25,1.61493E+11
20050926,279.25,284.9,290,280,286,287.05,1.46337E+11
20050927,287.05,286,302.25,285,285.9,285.85,3.82634E+11
20050928,285.85,290,293.75,285.5,285.5,286.55,1.54022E+11
20050929,286.55,292.25,295,286.2,288,287.5,2.58954E+11
20050930,287.5,282.3,290,277.5,282.6,282.4,1.0955E+11
20051003,282.4,288,289.35,280,282.5,282.65,1.21715E+11
20051004,282.65,295,299.9,288,288.6,291.2,4.95541E+11
20051005,291.2,293,293,281,284.55,285.25,1.30591E+11
20051006,285.25,287.5,287.5,279,283,281.15,77948855000
20051007,281.15,280.7,289,280.55,285,285.05,1.02607E+11
20051010,285.05,288,288,282.1,282.1,282.9,42050445000
20051011,282.9,280,282,276,276.5,277.5,72364095000
20051013,277.5,279.75,280,275,275,276.05,43022800000
20051014,276.05,277,277,265,269,265.9,64768775000
20051017,265.9,262,269,262,263,263.05,2.30988E+11
20051018,263.05,267.25,273.95,263,263,263,69867695000
20051019,263,266,274.9,252,270,269.3,1.24599E+11
20051020,269.3,265,267.15,235.2,260,257.8,1.60872E+11
20051021,257.8,264.75,267.25,250.05,256.35,253.9,1.01668E+11
20051024,253.9,257.5,260.6,241.25,257,256.3,29205790000
20051025,256.3,250.2,258,250.2,258,256.8,27086980000
20051026,256.8,252.25,254.5,249.1,251,250.85,88053075000
20051027,250.85,246,252,246,250,250.65,64353500000
20051028,250.65,244,255,244,255,252,1.76352E+11
20051031,252,253.5,259,244,252.95,251.85,1.71459E+11
20051101,251.85,253,253,245,248,246.5,70325825000
20051102,246.5,250,252,248,251.85,251.65,69245725000
20051107,251.65,250,260,250,253,253,2.27913E+11
20051108,253,250,258,247.2,258,256.65,59090225000
20051109,256.65,250.65,257.35,250.65,253,253,53395305000
20051110,253,251.05,254,250,250,250.05,1.07927E+11
20051111,250.05,250,252.95,247.5,249.95,249.95,2.15044E+11
20051114,249.95,249,255.9,249,250,250.25,4.23016E+11
20051116,250.25,243.2,252.1,243.2,251,250.05,2.6128E+12
20051117,250.05,259,268.7,248.5,252.1,253.3,1.01885E+12
20051118,253.3,252.65,253.8,250,251,250.4,1.58994E+11
20051121,250.4,250.25,254,250,254,250.05,2.65316E+12
20051122,250.05,245.25,253,244.2,244.2,245.4,1.64814E+11
20051123,245.4,246.4,249.95,246.4,249.5,249.1,21423250000
20051124,249.1,249.45,250.95,246.15,248.8,248.55,41267110000
20051125,248.55,250,252,240.55,244.9,245.4,2.92704E+11
20051126,245.4,249.7,279.8,246.6,268.9,268.15,4.61402E+11
20051128,268.15,277.7,277.7,248,261.9,259.75,4.1964E+11
20051129,259.75,280,280,255,257,257.35,96498265000
20051130,257.35,259.45,260,247,247,252.15,2.13192E+11
20051201,252.15,252,256.8,247,254.85,253,1.26051E+12
20051202,253,253.5,256,248,249.5,249.55,1.90263E+11
20051205,249.55,250,252.8,247,247.2,247.75,40567010000
20051206,247.75,248,255,246.1,250,249.3,1.418E+11
20051207,249.3,252.8,257.75,251.2,253,253,2.0277E+11
20051208,253,247.65,255,247.65,249,250,1.78142E+11
20051209,250,265.9,265.9,255.5,259.85,258.35,4.19967E+11
20051212,258.35,262,265,253.5,254.1,257,3.07439E+11
20051213,257,259.5,259.5,248.15,248.15,250.75,1.55735E+11
20051214,250.75,251,257.4,250.2,257.4,255.15,1.30537E+11
20051215,255.15,258.5,258.5,249,250,249.9,1.31634E+11
20051216,249.9,255,255,248.1,248.15,249.2,1.20547E+11
20051219,249.2,258.9,258.9,241,241.15,242.55,4.58417E+11
20051220,242.55,244,245.9,240,241.9,242.15,1.88281E+11
20051221,242.15,244.85,244.85,239,240,239.95,2.1191E+11
20051222,239.95,245,245,234.1,234.6,234.95,2.20013E+11
